up,down,total,points,prop,timescale,shed,hierarchy
r_1,r_18,101,71,0.7029702970297029,30mins,W3,Drainage Area
r_11,r_1,70,6,0.08571428571428572,30mins,W3,Drainage Area
r_12,r_11,56,1,0.017857142857142856,30mins,W3,Drainage Area
r_13,r_27,109,98,0.8990825688073395,30mins,W3,Drainage Area
r_14,r_15,106,24,0.22641509433962265,30mins,W3,Drainage Area
r_15,r_21,135,108,0.8,30mins,W3,Drainage Area
r_16,r_3,99,27,0.2727272727272727,30mins,W3,Drainage Area
r_17,r_9,144,32,0.2222222222222222,30mins,W3,Drainage Area
r_18,r_10,63,46,0.7301587301587301,30mins,W3,Drainage Area
r_19,r_16,103,0,0,30mins,W3,Drainage Area
r_2,r_20,110,78,0.7090909090909091,30mins,W3,Drainage Area
r_20,r_17,142,85,0.5985915492957746,30mins,W3,Drainage Area
r_21,r_29,147,10,0.06802721088435375,30mins,W3,Drainage Area
r_22,r_14,133,110,0.8270676691729323,30mins,W3,Drainage Area
r_23,r_12,42,38,0.9047619047619048,30mins,W3,Drainage Area
r_24,r_5,102,66,0.6470588235294118,30mins,W3,Drainage Area
r_27,r_7,80,69,0.8625,30mins,W3,Drainage Area
r_28,r_22,101,97,0.9603960396039604,30mins,W3,Drainage Area
r_29,r_19,72,72,1,30mins,W3,Drainage Area
r_3,r_6,68,64,0.9411764705882353,30mins,W3,Drainage Area
r_5,r_28,82,2,0.024390243902439025,30mins,W3,Drainage Area
r_6,r_13,74,2,0.02702702702702703,30mins,W3,Drainage Area
r_7,r_2,84,22,0.2619047619047619,30mins,W3,Drainage Area
r_8,r_23,80,76,0.95,30mins,W3,Drainage Area
r_9,r_8,116,75,0.646551724137931,30mins,W3,Drainage Area
r_1,r_18,95,67,0.7052631578947368,hourly,W3,Drainage Area
r_11,r_1,68,6,0.08823529411764706,hourly,W3,Drainage Area
r_12,r_11,54,1,0.018518518518518517,hourly,W3,Drainage Area
r_13,r_27,98,86,0.8775510204081632,hourly,W3,Drainage Area
r_14,r_15,93,20,0.21505376344086022,hourly,W3,Drainage Area
r_15,r_21,109,86,0.7889908256880734,hourly,W3,Drainage Area
r_16,r_3,85,20,0.23529411764705882,hourly,W3,Drainage Area
r_17,r_9,103,22,0.21359223300970873,hourly,W3,Drainage Area
r_18,r_10,59,43,0.7288135593220338,hourly,W3,Drainage Area
r_19,r_16,85,0,0,hourly,W3,Drainage Area
r_2,r_20,91,68,0.7472527472527473,hourly,W3,Drainage Area
r_20,r_17,105,57,0.5428571428571428,hourly,W3,Drainage Area
r_21,r_29,127,10,0.07874015748031496,hourly,W3,Drainage Area
r_22,r_14,120,98,0.8166666666666667,hourly,W3,Drainage Area
r_23,r_12,42,38,0.9047619047619048,hourly,W3,Drainage Area
r_24,r_5,88,54,0.6136363636363636,hourly,W3,Drainage Area
r_27,r_7,69,57,0.8260869565217391,hourly,W3,Drainage Area
r_28,r_22,93,87,0.9354838709677419,hourly,W3,Drainage Area
r_29,r_19,67,67,1,hourly,W3,Drainage Area
r_3,r_6,61,58,0.9508196721311475,hourly,W3,Drainage Area
r_5,r_28,75,2,0.02666666666666667,hourly,W3,Drainage Area
r_6,r_13,66,2,0.030303030303030304,hourly,W3,Drainage Area
r_7,r_2,68,18,0.2647058823529412,hourly,W3,Drainage Area
r_8,r_23,74,71,0.9594594594594594,hourly,W3,Drainage Area
r_9,r_8,86,59,0.686046511627907,hourly,W3,Drainage Area
r_1,r_18,84,59,0.7023809523809523,4hr,W3,Drainage Area
r_11,r_1,56,1,0.017857142857142856,4hr,W3,Drainage Area
r_12,r_11,45,0,0,4hr,W3,Drainage Area
r_13,r_27,73,60,0.821917808219178,4hr,W3,Drainage Area
r_14,r_15,74,12,0.16216216216216217,4hr,W3,Drainage Area
r_15,r_21,79,68,0.8607594936708861,4hr,W3,Drainage Area
r_16,r_3,63,8,0.12698412698412698,4hr,W3,Drainage Area
r_17,r_9,76,16,0.21052631578947367,4hr,W3,Drainage Area
r_18,r_10,47,36,0.7659574468085106,4hr,W3,Drainage Area
r_19,r_16,60,0,0,4hr,W3,Drainage Area
r_2,r_20,73,56,0.7671232876712328,4hr,W3,Drainage Area
r_20,r_17,78,37,0.47435897435897434,4hr,W3,Drainage Area
r_21,r_29,98,8,0.08163265306122448,4hr,W3,Drainage Area
r_22,r_14,96,77,0.8020833333333334,4hr,W3,Drainage Area
r_23,r_12,36,33,0.9166666666666666,4hr,W3,Drainage Area
r_24,r_5,62,36,0.5806451612903226,4hr,W3,Drainage Area
r_27,r_7,46,34,0.7391304347826086,4hr,W3,Drainage Area
r_28,r_22,74,65,0.8783783783783784,4hr,W3,Drainage Area
r_29,r_19,53,53,1,4hr,W3,Drainage Area
r_3,r_6,49,47,0.9591836734693877,4hr,W3,Drainage Area
r_5,r_28,61,2,0.03278688524590164,4hr,W3,Drainage Area
r_6,r_13,55,2,0.03636363636363636,4hr,W3,Drainage Area
r_7,r_2,44,3,0.06818181818181818,4hr,W3,Drainage Area
r_8,r_23,69,67,0.9710144927536232,4hr,W3,Drainage Area
r_9,r_8,72,54,0.75,4hr,W3,Drainage Area
r_1,r_18,40,25,0.625,daily,W3,Drainage Area
r_11,r_1,22,0,0,daily,W3,Drainage Area
r_12,r_11,16,0,0,daily,W3,Drainage Area
r_13,r_27,43,31,0.7209302325581395,daily,W3,Drainage Area
r_14,r_15,30,4,0.13333333333333333,daily,W3,Drainage Area
r_15,r_21,30,23,0.7666666666666667,daily,W3,Drainage Area
r_16,r_3,39,7,0.1794871794871795,daily,W3,Drainage Area
r_17,r_9,51,11,0.21568627450980393,daily,W3,Drainage Area
r_18,r_10,18,12,0.6666666666666666,daily,W3,Drainage Area
r_19,r_16,33,0,0,daily,W3,Drainage Area
r_2,r_20,29,22,0.7586206896551724,daily,W3,Drainage Area
r_20,r_17,37,15,0.40540540540540543,daily,W3,Drainage Area
r_21,r_29,32,4,0.125,daily,W3,Drainage Area
r_22,r_14,46,36,0.782608695652174,daily,W3,Drainage Area
r_23,r_12,13,13,1,daily,W3,Drainage Area
r_24,r_5,40,28,0.7,daily,W3,Drainage Area
r_27,r_7,31,23,0.7419354838709677,daily,W3,Drainage Area
r_28,r_22,41,28,0.6829268292682927,daily,W3,Drainage Area
r_29,r_19,13,13,1,daily,W3,Drainage Area
r_3,r_6,32,29,0.90625,daily,W3,Drainage Area
r_5,r_28,37,0,0,daily,W3,Drainage Area
r_6,r_13,32,1,0.03125,daily,W3,Drainage Area
r_7,r_2,29,2,0.06896551724137931,daily,W3,Drainage Area
r_8,r_23,35,32,0.9142857142857143,daily,W3,Drainage Area
r_9,r_8,50,34,0.68,daily,W3,Drainage Area
r_1,r_24,91,5,0.054945054945054944,30mins,FB,Drainage Area
r_11,r_26,21,0,0,30mins,FB,Drainage Area
r_13,r_4,98,96,0.9795918367346939,30mins,FB,Drainage Area
r_14,r_15,30,28,0.9333333333333333,30mins,FB,Drainage Area
