up,down,total,points,prop,timescale,shed,hierarchy
r_1,r_2,100,73,0.73,30mins,W3,Duration of Flow
r_10,r_19,26,20,0.7692307692307693,30mins,W3,Duration of Flow
r_11,r_23,90,50,0.5555555555555556,30mins,W3,Duration of Flow
r_13,r_9,109,41,0.3761467889908257,30mins,W3,Duration of Flow
r_14,r_5,113,24,0.21238938053097345,30mins,W3,Duration of Flow
r_15,r_28,75,27,0.36,30mins,W3,Duration of Flow
r_16,r_24,138,41,0.2971014492753623,30mins,W3,Duration of Flow
r_17,r_7,93,73,0.7849462365591398,30mins,W3,Duration of Flow
r_18,r_11,86,23,0.26744186046511625,30mins,W3,Duration of Flow
r_19,r_12,20,15,0.75,30mins,W3,Duration of Flow
r_2,r_14,128,80,0.625,30mins,W3,Duration of Flow
r_20,r_18,94,43,0.4574468085106383,30mins,W3,Duration of Flow
r_21,r_13,148,19,0.12837837837837837,30mins,W3,Duration of Flow
r_22,r_16,151,115,0.7615894039735099,30mins,W3,Duration of Flow
r_23,r_6,54,44,0.8148148148148148,30mins,W3,Duration of Flow
r_24,r_21,145,114,0.7862068965517242,30mins,W3,Duration of Flow
r_27,r_17,141,92,0.6524822695035462,30mins,W3,Duration of Flow
r_28,r_22,101,97,0.9603960396039604,30mins,W3,Duration of Flow
r_29,r_15,97,40,0.41237113402061853,30mins,W3,Duration of Flow
r_3,r_27,96,57,0.59375,30mins,W3,Duration of Flow
r_5,r_3,84,28,0.3333333333333333,30mins,W3,Duration of Flow
r_6,r_10,37,16,0.43243243243243246,30mins,W3,Duration of Flow
r_7,r_20,44,42,0.9545454545454546,30mins,W3,Duration of Flow
r_8,r_1,86,40,0.46511627906976744,30mins,W3,Duration of Flow
r_9,r_8,116,75,0.646551724137931,30mins,W3,Duration of Flow
r_1,r_2,87,62,0.7126436781609196,hourly,W3,Duration of Flow
r_10,r_19,25,20,0.8,hourly,W3,Duration of Flow
r_11,r_23,87,46,0.5287356321839081,hourly,W3,Duration of Flow
r_13,r_9,84,28,0.3333333333333333,hourly,W3,Duration of Flow
r_14,r_5,98,21,0.21428571428571427,hourly,W3,Duration of Flow
r_15,r_28,66,27,0.4090909090909091,hourly,W3,Duration of Flow
r_16,r_24,115,35,0.30434782608695654,hourly,W3,Duration of Flow
r_17,r_7,75,56,0.7466666666666667,hourly,W3,Duration of Flow
r_18,r_11,83,20,0.24096385542168675,hourly,W3,Duration of Flow
r_19,r_12,17,12,0.7058823529411765,hourly,W3,Duration of Flow
r_2,r_14,110,68,0.6181818181818182,hourly,W3,Duration of Flow
r_20,r_18,78,29,0.3717948717948718,hourly,W3,Duration of Flow
r_21,r_13,124,17,0.13709677419354838,hourly,W3,Duration of Flow
r_22,r_16,130,96,0.7384615384615385,hourly,W3,Duration of Flow
r_23,r_6,52,42,0.8076923076923077,hourly,W3,Duration of Flow
r_24,r_21,121,92,0.7603305785123967,hourly,W3,Duration of Flow
r_27,r_17,113,69,0.6106194690265486,hourly,W3,Duration of Flow
r_28,r_22,93,87,0.9354838709677419,hourly,W3,Duration of Flow
r_29,r_15,87,32,0.367816091954023,hourly,W3,Duration of Flow
r_3,r_27,86,55,0.6395348837209303,hourly,W3,Duration of Flow
r_5,r_3,70,22,0.3142857142857143,hourly,W3,Duration of Flow
