up,down,total,points,prop,timescale,shed,hierarchy
r_1,r_5,87,46,0.5287356321839081,30mins,W3,Flow Permanence
r_10,r_30,37,0,0,30mins,W3,Flow Permanence
r_11,r_10,28,26,0.9285714285714286,30mins,W3,Flow Permanence
r_13,r_3,74,43,0.581081081081081,30mins,W3,Flow Permanence
r_14,r_17,149,60,0.40268456375838924,30mins,W3,Flow Permanence
r_15,r_28,75,27,0.36,30mins,W3,Flow Permanence
r_16,r_1,101,38,0.37623762376237624,30mins,W3,Flow Permanence
r_17,r_7,93,73,0.7849462365591398,30mins,W3,Flow Permanence
r_18,r_31,67,19,0.2835820895522388,30mins,W3,Flow Permanence
r_19,r_12,20,15,0.75,30mins,W3,Flow Permanence
r_2,r_21,157,90,0.5732484076433121,30mins,W3,Flow Permanence
r_20,r_25,24,0,0,30mins,W3,Flow Permanence
r_21,r_27,155,69,0.44516129032258067,30mins,W3,Flow Permanence
r_22,r_24,117,66,0.5641025641025641,30mins,W3,Flow Permanence
r_23,r_6,54,44,0.8148148148148148,30mins,W3,Flow Permanence
r_24,r_13,101,52,0.5148514851485149,30mins,W3,Flow Permanence
r_25,r_11,34,8,0.23529411764705882,30mins,W3,Flow Permanence
r_26,r_19,36,34,0.9444444444444444,30mins,W3,Flow Permanence
r_27,r_14,127,75,0.5905511811023622,30mins,W3,Flow Permanence
r_28,r_29,82,56,0.6829268292682927,30mins,W3,Flow Permanence
r_29,r_22,119,95,0.7983193277310925,30mins,W3,Flow Permanence
r_3,r_9,73,30,0.410958904109589,30mins,W3,Flow Permanence
r_30,r_23,39,38,0.9743589743589743,30mins,W3,Flow Permanence
r_31,r_4,57,33,0.5789473684210527,30mins,W3,Flow Permanence
r_4,r_20,38,34,0.8947368421052632,30mins,W3,Flow Permanence
r_5,r_2,111,62,0.5585585585585585,30mins,W3,Flow Permanence
r_6,r_26,33,4,0.12121212121212122,30mins,W3,Flow Permanence
r_7,r_18,92,72,0.782608695652174,30mins,W3,Flow Permanence
r_8,r_16,136,66,0.4852941176470588,30mins,W3,Flow Permanence
