timescale,pval,comparison,shed,iteration,hierarchy
30mins,0.6503699652247642,Relative Position,FB,1,Relative Position
4hr,0.42607896107329735,Relative Position,FB,1,Relative Position
daily,0.14763832581672903,Relative Position,FB,1,Relative Position
hourly,0.5362218347094588,Relative Position,FB,1,Relative Position
30mins,0.36104590398035197,Relative Position,FB,2,Relative Position
4hr,0.42475057721667375,Relative Position,FB,2,Relative Position
daily,0.13665374984367923,Relative Position,FB,2,Relative Position
hourly,0.28840206078387565,Relative Position,FB,2,Relative Position
30mins,0.15148756543501052,Relative Position,FB,3,Relative Position
4hr,0.17615842354620442,Relative Position,FB,3,Relative Position
daily,0.030934594805479703,Relative Position,FB,3,Relative Position
hourly,0.16365080567340975,Relative Position,FB,3,Relative Position
30mins,0.47555621018294336,Relative Position,FB,4,Relative Position
4hr,0.37694330509764723,Relative Position,FB,4,Relative Position
daily,0.22530292979020078,Relative Position,FB,4,Relative Position
hourly,0.4195327290026608,Relative Position,FB,4,Relative Position
30mins,0.5900620106767163,Relative Position,FB,5,Relative Position
4hr,0.4505125097222388,Relative Position,FB,5,Relative Position
daily,0.18167505630204603,Relative Position,FB,5,Relative Position
hourly,0.5477804991229395,Relative Position,FB,5,Relative Position
30mins,0.3041790807781253,Relative Position,FB,6,Relative Position
4hr,0.23951923819149376,Relative Position,FB,6,Relative Position
daily,0.318530750030827,Relative Position,FB,6,Relative Position
hourly,0.3384771708939361,Relative Position,FB,6,Relative Position
30mins,0.6282142844977334,Relative Position,FB,7,Relative Position
4hr,0.4454383819868063,Relative Position,FB,7,Relative Position
daily,0.2593483736890295,Relative Position,FB,7,Relative Position
hourly,0.6022074704364481,Relative Position,FB,7,Relative Position
30mins,0.7297969412035927,Relative Position,FB,8,Relative Position
4hr,0.7093308121198854,Relative Position,FB,8,Relative Position
daily,0.39779168472608356,Relative Position,FB,8,Relative Position
hourly,0.7200462073369953,Relative Position,FB,8,Relative Position
30mins,0.3968103224528477,Relative Position,FB,9,Relative Position
4hr,0.2833082010756432,Relative Position,FB,9,Relative Position
daily,0.18746539400539908,Relative Position,FB,9,Relative Position
hourly,0.3802563371308688,Relative Position,FB,9,Relative Position
30mins,0.6414740991652086,Relative Position,FB,10,Relative Position
4hr,0.513360685284468,Relative Position,FB,10,Relative Position
daily,0.1636396751983483,Relative Position,FB,10,Relative Position
hourly,0.6199642064185145,Relative Position,FB,10,Relative Position
30mins,0.2321963305339773,Relative Position,FB,11,Relative Position
4hr,0.14455752199683214,Relative Position,FB,11,Relative Position
daily,0.041745330820763586,Relative Position,FB,11,Relative Position
hourly,0.17026228445414726,Relative Position,FB,11,Relative Position
30mins,0.20291300961044362,Relative Position,FB,12,Relative Position
4hr,0.12294121194763882,Relative Position,FB,12,Relative Position
daily,0.03246642478107699,Relative Position,FB,12,Relative Position
hourly,0.22688129783482636,Relative Position,FB,12,Relative Position
30mins,0.18925978573772798,Relative Position,FB,13,Relative Position
4hr,0.15619513502582463,Relative Position,FB,13,Relative Position
daily,0.14455511876423255,Relative Position,FB,13,Relative Position
hourly,0.19477792310867925,Relative Position,FB,13,Relative Position
30mins,0.3407155571112923,Relative Position,FB,14,Relative Position
4hr,0.2718558756830741,Relative Position,FB,14,Relative Position
daily,0.2650377640937551,Relative Position,FB,14,Relative Position
hourly,0.3245351879443432,Relative Position,FB,14,Relative Position
30mins,0.3156154484958631,Relative Position,FB,15,Relative Position
4hr,0.233423694066904,Relative Position,FB,15,Relative Position
daily,0.08936437083598459,Relative Position,FB,15,Relative Position
hourly,0.24681694267227167,Relative Position,FB,15,Relative Position
30mins,0.49729891828899936,Relative Position,FB,16,Relative Position
4hr,0.4485376071436133,Relative Position,FB,16,Relative Position
daily,0.22065361988622964,Relative Position,FB,16,Relative Position
hourly,0.50255892153289,Relative Position,FB,16,Relative Position
30mins,0.756895359616951,Relative Position,FB,17,Relative Position
4hr,0.5512780891529028,Relative Position,FB,17,Relative Position
daily,0.3827487572527037,Relative Position,FB,17,Relative Position
hourly,0.7433964176832806,Relative Position,FB,17,Relative Position
30mins,0.9303955288838743,Relative Position,FB,18,Relative Position
4hr,0.9080121684051021,Relative Position,FB,18,Relative Position
daily,0.6938309248494756,Relative Position,FB,18,Relative Position
hourly,0.9338211898093407,Relative Position,FB,18,Relative Position
30mins,0.7132586407477806,Relative Position,FB,19,Relative Position
4hr,0.6161552633797792,Relative Position,FB,19,Relative Position
daily,0.43139297175971764,Relative Position,FB,19,Relative Position
hourly,0.704779470131139,Relative Position,FB,19,Relative Position
30mins,0.392385961684238,Relative Position,FB,20,Relative Position
4hr,0.34269185960081083,Relative Position,FB,20,Relative Position
daily,0.16772207210499068,Relative Position,FB,20,Relative Position
hourly,0.37813633937028673,Relative Position,FB,20,Relative Position
30mins,0.4098923978934712,Relative Position,FB,21,Relative Position
4hr,0.3105434294715289,Relative Position,FB,21,Relative Position
daily,0.19600841928061566,Relative Position,FB,21,Relative Position
hourly,0.41409524770474376,Relative Position,FB,21,Relative Position
30mins,0.06143271706417645,Relative Position,FB,22,Relative Position
4hr,0.06771013019427927,Relative Position,FB,22,Relative Position
daily,0.12775273241132523,Relative Position,FB,22,Relative Position
hourly,0.07394006453898225,Relative Position,FB,22,Relative Position
30mins,0.8310481205070537,Relative Position,FB,23,Relative Position
4hr,0.8809738995576855,Relative Position,FB,23,Relative Position
daily,0.5838194556425108,Relative Position,FB,23,Relative Position
