timescale,pval,comparison,shed,iteration,hierarchy
30mins,0.7473105735609623,Relative Position,W3,1,Relative Position
4hr,0.6273670040820429,Relative Position,W3,1,Relative Position
daily,0.38711098448705017,Relative Position,W3,1,Relative Position
hourly,0.7045888075995032,Relative Position,W3,1,Relative Position
30mins,0.30595464999079836,Relative Position,W3,2,Relative Position
4hr,0.19982195453565327,Relative Position,W3,2,Relative Position
daily,0.09222935432166517,Relative Position,W3,2,Relative Position
hourly,0.28819662158180864,Relative Position,W3,2,Relative Position
30mins,0.5438464773284364,Relative Position,W3,3,Relative Position
4hr,0.4998002948991686,Relative Position,W3,3,Relative Position
daily,0.23134120123225466,Relative Position,W3,3,Relative Position
hourly,0.5373898016604637,Relative Position,W3,3,Relative Position
30mins,0.7282327148321253,Relative Position,W3,4,Relative Position
4hr,0.482929572872801,Relative Position,W3,4,Relative Position
daily,0.24917056321190334,Relative Position,W3,4,Relative Position
hourly,0.622052353517645,Relative Position,W3,4,Relative Position
30mins,0.6366122251358015,Relative Position,W3,5,Relative Position
4hr,0.48732051167643436,Relative Position,W3,5,Relative Position
daily,0.18064857571195475,Relative Position,W3,5,Relative Position
hourly,0.5516793652286995,Relative Position,W3,5,Relative Position
30mins,0.531122361501037,Relative Position,W3,6,Relative Position
4hr,0.36038249482870754,Relative Position,W3,6,Relative Position
daily,0.2086023010791458,Relative Position,W3,6,Relative Position
hourly,0.4568485602170166,Relative Position,W3,6,Relative Position
30mins,0.25581746945437706,Relative Position,W3,7,Relative Position
4hr,0.1982084160989164,Relative Position,W3,7,Relative Position
daily,0.06607692227435327,Relative Position,W3,7,Relative Position
hourly,0.2565431287543949,Relative Position,W3,7,Relative Position
30mins,0.29541628259629515,Relative Position,W3,8,Relative Position
4hr,0.15511717324064495,Relative Position,W3,8,Relative Position
daily,0.044717770092069654,Relative Position,W3,8,Relative Position
hourly,0.2519764932751225,Relative Position,W3,8,Relative Position
30mins,0.40447277439900176,Relative Position,W3,9,Relative Position
4hr,0.20990822502439369,Relative Position,W3,9,Relative Position
daily,0.07362416678571967,Relative Position,W3,9,Relative Position
hourly,0.3237288087920691,Relative Position,W3,9,Relative Position
30mins,0.3953849465329766,Relative Position,W3,10,Relative Position
4hr,0.2810607142597136,Relative Position,W3,10,Relative Position
daily,0.11653593774463973,Relative Position,W3,10,Relative Position
hourly,0.3769044988370818,Relative Position,W3,10,Relative Position
30mins,0.31424646451352933,Relative Position,W3,11,Relative Position
4hr,0.21917841741247285,Relative Position,W3,11,Relative Position
daily,0.10590891047274176,Relative Position,W3,11,Relative Position
hourly,0.2630289500697964,Relative Position,W3,11,Relative Position
30mins,0.281232224060207,Relative Position,W3,12,Relative Position
4hr,0.12386132931002217,Relative Position,W3,12,Relative Position
daily,0.018700065767106797,Relative Position,W3,12,Relative Position
hourly,0.2331962541358599,Relative Position,W3,12,Relative Position
30mins,0.20819189997916573,Relative Position,W3,13,Relative Position
4hr,0.10074520562548488,Relative Position,W3,13,Relative Position
daily,0.028180355655338538,Relative Position,W3,13,Relative Position
hourly,0.15631767723838974,Relative Position,W3,13,Relative Position
30mins,0.5755294540552522,Relative Position,W3,14,Relative Position
4hr,0.5303258300970507,Relative Position,W3,14,Relative Position
daily,0.22259093692112106,Relative Position,W3,14,Relative Position
hourly,0.5492008737552614,Relative Position,W3,14,Relative Position
30mins,0.6431654649844984,Relative Position,W3,15,Relative Position
4hr,0.5622543978673649,Relative Position,W3,15,Relative Position
daily,0.30112915910895377,Relative Position,W3,15,Relative Position
hourly,0.5984346785023794,Relative Position,W3,15,Relative Position
30mins,0.8476051509217564,Relative Position,W3,16,Relative Position
