timescale,pval,comparison,shed,iteration,hierarchy
30mins,0.45949053790729316,Relative Position,ZZ,1,Relative Position
4hr,0.43689504696062603,Relative Position,ZZ,1,Relative Position
daily,0.249031934128058,Relative Position,ZZ,1,Relative Position
hourly,0.47805377887054135,Relative Position,ZZ,1,Relative Position
30mins,0.32733839078443194,Relative Position,ZZ,2,Relative Position
4hr,0.21556370086168805,Relative Position,ZZ,2,Relative Position
daily,0.045426163255510056,Relative Position,ZZ,2,Relative Position
hourly,0.31239393840622076,Relative Position,ZZ,2,Relative Position
30mins,0.4572793803148642,Relative Position,ZZ,3,Relative Position
4hr,0.3234488817647898,Relative Position,ZZ,3,Relative Position
daily,0.11065184800909739,Relative Position,ZZ,3,Relative Position
hourly,0.42949663322408627,Relative Position,ZZ,3,Relative Position
30mins,0.2223521278811418,Relative Position,ZZ,4,Relative Position
4hr,0.07982109169394677,Relative Position,ZZ,4,Relative Position
daily,0.031109193146055664,Relative Position,ZZ,4,Relative Position
hourly,0.17009880914123982,Relative Position,ZZ,4,Relative Position
30mins,0.5396798547743246,Relative Position,ZZ,5,Relative Position
4hr,0.3523425806351637,Relative Position,ZZ,5,Relative Position
daily,0.15370546147338415,Relative Position,ZZ,5,Relative Position
hourly,0.43415201040197315,Relative Position,ZZ,5,Relative Position
30mins,0.38025861541427963,Relative Position,ZZ,6,Relative Position
4hr,0.2140363803239024,Relative Position,ZZ,6,Relative Position
daily,0.049134128031867716,Relative Position,ZZ,6,Relative Position
hourly,0.34307698541355613,Relative Position,ZZ,6,Relative Position
30mins,0.2121124567706784,Relative Position,ZZ,7,Relative Position
4hr,0.0958407562549359,Relative Position,ZZ,7,Relative Position
daily,0.042603867499888134,Relative Position,ZZ,7,Relative Position
hourly,0.17124631584932778,Relative Position,ZZ,7,Relative Position
30mins,0.761772816188954,Relative Position,ZZ,8,Relative Position
4hr,0.5475536305472836,Relative Position,ZZ,8,Relative Position
daily,0.3538949946016421,Relative Position,ZZ,8,Relative Position
hourly,0.7100463571308444,Relative Position,ZZ,8,Relative Position
30mins,0.24093191165601346,Relative Position,ZZ,9,Relative Position
4hr,0.07828145065108627,Relative Position,ZZ,9,Relative Position
daily,0.02653228471249916,Relative Position,ZZ,9,Relative Position
hourly,0.17383008713636836,Relative Position,ZZ,9,Relative Position
30mins,0.5681770560825309,Relative Position,ZZ,10,Relative Position
4hr,0.4977764581662394,Relative Position,ZZ,10,Relative Position
daily,0.2589619384770786,Relative Position,ZZ,10,Relative Position
hourly,0.5558216083848766,Relative Position,ZZ,10,Relative Position
30mins,0.44638123272326125,Relative Position,ZZ,11,Relative Position
4hr,0.4070517616114556,Relative Position,ZZ,11,Relative Position
daily,0.2559309876690369,Relative Position,ZZ,11,Relative Position
hourly,0.48763369231713755,Relative Position,ZZ,11,Relative Position
30mins,0.48471708752781023,Relative Position,ZZ,12,Relative Position
4hr,0.257502396397981,Relative Position,ZZ,12,Relative Position
daily,0.12761963642556332,Relative Position,ZZ,12,Relative Position
hourly,0.45037756101696214,Relative Position,ZZ,12,Relative Position
30mins,0.22080019526935526,Relative Position,ZZ,13,Relative Position
4hr,0.17454489795130043,Relative Position,ZZ,13,Relative Position
daily,0.07044684266983418,Relative Position,ZZ,13,Relative Position
hourly,0.24551309799896326,Relative Position,ZZ,13,Relative Position
30mins,0.25795483157560073,Relative Position,ZZ,14,Relative Position
4hr,0.12252961174848509,Relative Position,ZZ,14,Relative Position
daily,0.03736006132162612,Relative Position,ZZ,14,Relative Position
