up,down,total,points,prop,timescale,shed,hierarchy
r_12,r_11,56,1,0.017857142857142856,30mins,W3,Relative Position
r_13,r_12,62,60,0.967741935483871,30mins,W3,Relative Position
r_14,r_13,98,24,0.24489795918367346,30mins,W3,Relative Position
r_15,r_16,126,98,0.7777777777777778,30mins,W3,Relative Position
r_16,r_17,167,86,0.5149700598802395,30mins,W3,Relative Position
r_2,r_1,100,20,0.2,30mins,W3,Relative Position
r_20,r_18,94,43,0.4574468085106383,30mins,W3,Relative Position
r_21,r_20,154,85,0.551948051948052,30mins,W3,Relative Position
r_22,r_23,94,91,0.9680851063829787,30mins,W3,Relative Position
r_24,r_27,115,90,0.782608695652174,30mins,W3,Relative Position
r_27,r_10,54,53,0.9814814814814815,30mins,W3,Relative Position
r_28,r_9,88,84,0.9545454545454546,30mins,W3,Relative Position
r_3,r_2,96,66,0.6875,30mins,W3,Relative Position
r_5,r_6,84,79,0.9404761904761905,30mins,W3,Relative Position
r_6,r_7,65,4,0.06153846153846154,30mins,W3,Relative Position
r_7,r_8,84,12,0.14285714285714285,30mins,W3,Relative Position
r_12,r_11,54,1,0.018518518518518517,hourly,W3,Relative Position
r_13,r_12,56,54,0.9642857142857143,hourly,W3,Relative Position
r_14,r_13,90,21,0.23333333333333334,hourly,W3,Relative Position
r_15,r_16,105,82,0.780952380952381,hourly,W3,Relative Position
r_16,r_17,129,62,0.4806201550387597,hourly,W3,Relative Position
r_2,r_1,87,17,0.19540229885057472,hourly,W3,Relative Position
r_20,r_18,78,29,0.3717948717948718,hourly,W3,Relative Position
r_21,r_20,118,71,0.6016949152542372,hourly,W3,Relative Position
r_22,r_23,90,87,0.9666666666666667,hourly,W3,Relative Position
r_24,r_27,103,80,0.7766990291262136,hourly,W3,Relative Position
r_27,r_10,54,53,0.9814814814814815,hourly,W3,Relative Position
r_28,r_9,69,64,0.927536231884058,hourly,W3,Relative Position
r_3,r_2,79,58,0.7341772151898734,hourly,W3,Relative Position
r_5,r_6,75,71,0.9466666666666667,hourly,W3,Relative Position
r_6,r_7,57,4,0.07017543859649122,hourly,W3,Relative Position
r_7,r_8,66,10,0.15151515151515152,hourly,W3,Relative Position
r_12,r_11,45,0,0,4hr,W3,Relative Position
r_13,r_12,48,48,1,4hr,W3,Relative Position
r_14,r_13,73,18,0.2465753424657534,4hr,W3,Relative Position
r_15,r_16,73,64,0.8767123287671232,4hr,W3,Relative Position
r_16,r_17,85,32,0.3764705882352941,4hr,W3,Relative Position
r_2,r_1,65,3,0.046153846153846156,4hr,W3,Relative Position
r_20,r_18,64,23,0.359375,4hr,W3,Relative Position
r_21,r_20,86,51,0.5930232558139535,4hr,W3,Relative Position
r_22,r_23,78,75,0.9615384615384616,4hr,W3,Relative Position
r_24,r_27,72,58,0.8055555555555556,4hr,W3,Relative Position
r_27,r_10,38,37,0.9736842105263158,4hr,W3,Relative Position
r_28,r_9,48,40,0.8333333333333334,4hr,W3,Relative Position
r_3,r_2,66,48,0.7272727272727273,4hr,W3,Relative Position
r_5,r_6,54,51,0.9444444444444444,4hr,W3,Relative Position
r_6,r_7,35,2,0.05714285714285714,4hr,W3,Relative Position
r_7,r_8,52,3,0.057692307692307696,4hr,W3,Relative Position
r_12,r_11,16,0,0,daily,W3,Relative Position
r_13,r_12,31,31,1,daily,W3,Relative Position
r_14,r_13,32,4,0.125,daily,W3,Relative Position
r_15,r_16,43,36,0.8372093023255814,daily,W3,Relative Position
r_16,r_17,52,18,0.34615384615384615,daily,W3,Relative Position
r_2,r_1,35,1,0.02857142857142857,daily,W3,Relative Position
r_20,r_18,15,5,0.3333333333333333,daily,W3,Relative Position
r_21,r_20,25,13,0.52,daily,W3,Relative Position
r_22,r_23,48,46,0.9583333333333334,daily,W3,Relative Position
r_24,r_27,45,36,0.8,daily,W3,Relative Position
r_27,r_10,28,28,1,daily,W3,Relative Position
r_28,r_9,31,23,0.7419354838709677,daily,W3,Relative Position
r_3,r_2,44,27,0.6136363636363636,daily,W3,Relative Position
r_5,r_6,32,29,0.90625,daily,W3,Relative Position
r_6,r_7,21,1,0.047619047619047616,daily,W3,Relative Position
r_7,r_8,33,2,0.06060606060606061,daily,W3,Relative Position
r_1,r_3,10,0,0,30mins,FB,Relative Position
r_13,r_14,100,88,0.88,30mins,FB,Relative Position
r_14,r_15,30,28,0.9333333333333333,30mins,FB,Relative Position
r_17,r_18,3,2,0.6666666666666666,30mins,FB,Relative Position
r_18,r_19,38,0,0,30mins,FB,Relative Position
r_2,r_3,10,8,0.8,30mins,FB,Relative Position
r_23,r_25,76,2,0.02631578947368421,30mins,FB,Relative Position
r_24,r_25,118,26,0.22033898305084745,30mins,FB,Relative Position
r_25,r_26,84,12,0.14285714285714285,30mins,FB,Relative Position
r_26,r_27,59,58,0.9830508474576272,30mins,FB,Relative Position
r_27,r_28,63,0,0,30mins,FB,Relative Position
r_28,r_29,77,44,0.5714285714285714,30mins,FB,Relative Position
r_3,r_4,7,5,0.7142857142857143,30mins,FB,Relative Position
r_4,r_5,24,0,0,30mins,FB,Relative Position
r_1,r_3,9,0,0,hourly,FB,Relative Position
r_13,r_14,82,72,0.8780487804878049,hourly,FB,Relative Position
r_14,r_15,26,24,0.9230769230769231,hourly,FB,Relative Position
r_17,r_18,3,2,0.6666666666666666,hourly,FB,Relative Position
r_18,r_19,39,0,0,hourly,FB,Relative Position
r_2,r_3,10,8,0.8,hourly,FB,Relative Position
r_23,r_25,74,2,0.02702702702702703,hourly,FB,Relative Position
r_24,r_25,114,26,0.22807017543859648,hourly,FB,Relative Position
r_25,r_26,70,8,0.11428571428571428,hourly,FB,Relative Position
r_26,r_27,41,40,0.975609756097561,hourly,FB,Relative Position
r_27,r_28,54,0,0,hourly,FB,Relative Position
r_28,r_29,71,42,0.5915492957746479,hourly,FB,Relative Position
r_3,r_4,7,5,0.7142857142857143,hourly,FB,Relative Position
r_4,r_5,18,0,0,hourly,FB,Relative Position
r_1,r_3,7,0,0,4hr,FB,Relative Position
r_13,r_14,53,46,0.8679245283018868,4hr,FB,Relative Position
r_14,r_15,22,20,0.9090909090909091,4hr,FB,Relative Position
r_17,r_18,3,2,0.6666666666666666,4hr,FB,Relative Position
r_18,r_19,35,0,0,4hr,FB,Relative Position
r_2,r_3,9,6,0.6666666666666666,4hr,FB,Relative Position
r_23,r_25,71,0,0,4hr,FB,Relative Position
r_24,r_25,96,22,0.22916666666666666,4hr,FB,Relative Position
r_25,r_26,54,4,0.07407407407407407,4hr,FB,Relative Position
r_26,r_27,24,23,0.9583333333333334,4hr,FB,Relative Position
r_27,r_28,48,0,0,4hr,FB,Relative Position
r_28,r_29,60,28,0.4666666666666667,4hr,FB,Relative Position
